INDEX:DATE:MODE:INFO
1:19/01/17:FEATURE:Aktualisierungen beim öffnen
2:20/01/17:FIX:Die console startet nun nicht mehr unter Windows
3:20/01/17:FEATURE:"""Stock Change"" kann jetzt uber F5 geschlossen werden"
4:21/01/17:FEATURE:Beim Starten vom server macht er die Inventur und speichert sie im Data ordner
5:22/01/17:FIX:"Barcode und Anzahl kann nicht mehr bei ""Change Stock"" geändert werden"
6:22/01/17:FEATURE:Neues programm zeigt sofort ob etwas auf lager ist und wo es sich befindet
7:22/01/17:FEATURE:Beim öffnen werden jetzt nur noch neue NEWS angezeigt
8:22/01/17:INFO:ZK-DATA besteht  aus 17 906 linien, und wurde am 9/07/17 auf Github.com veröffendlicht
