INDEX:STRING
0:Prix d'achat
1:Prix de vente HTVA
2:Prix de vente TVAC
3:Identification
4:Code à barres
5:Numero d'article
6:Fournisseur
7:Nom
8:Emplacement
9:Quantité
10:Nouveau
11:Changer
12:Recherche Stock
13:Affichage
14:Enter = Démarrer la recherche
15:Supprimer = Supprimer le contenu de toute les recherches
16:F1 = Retirer des articles
17:F2 = Ajouter des articles
18:F11 = Imprimer une étiquettes avec l'emplacement
19:F12 = Imprimer le code à barres
20:X articles en stock
21:Quel quantité voulez-vous retirez du stock ? 
22:Quel quantité voulez-vous ajouter au stock ? 
23:Quantité changer avec succès
24:Vous avez retiré N Xx
25:Vous avez ajouté N Xx
26:Erreur
27:Démarrage de la recherche
28:En attende de données
29:Etape X
30:Reception des données
31:"Etape : X"
32:Fiche Article
33:Attention
34:Il y a des changement non enregistrer, voulez-vous les sauvegarder maintenant?
35:Impossible de sauvegarder les changements
36:Ces informations ont était changer d'un autre endroit, pour des raison de sécurité nous ne pouvons pas les sauvegarder
37:Recherche
