INDEX:STRING
0:Einkaufspreis
1:Verkaufspreis ohne Steuern
2:Verkaufspreis mit Steuern
3:Identifikation
4:Barcode
5:Artikelnummer
6:Lieferant
7:Name
8:Ort
9:Anzahl
10:Neu
11:Ändern
12:Stock Suche
13:Anzeigen
14:Enter = Artikel suchen
15:Delete = Alle Suchfelder leeren
16:F1 = Artikel entfernen
17:F2 = Artikel hinzufügen
18:F11 = Etikett, mit dem Ort, ausdrucken
19:F12 = Barcode drucken
20:X Artikel im Stock
21:"Bitte Anzahl eingeben, die aus dem Stock entfernt wird : "
22:"Bitte Anzahl eingeben, die in den Stock gesetzt wird : "
23:Anzahl wurde erfolgreich geändert
24:Sie haben N Xx entfernt
25:Sie haben N Xx hinzugefügt
26:Fehler
27:Suche wird gestartet
28:Warte auf Daten
29:Schritt X
30:Daten werden gesammelt
31:"Status : X"
32:Artikel Informationen
33:Achtung
34:Es gibt Änderungen, die nicht gespeichert wurden. Wollen Sie diese jetzt speichern?
35:Änderungen konnten nicht gespeichert werden
36:Diese Artikelinformation wird gerade von einem anderen Ort aus gespeichert. Bitte versuchen Sie es später noch einmal.
37:Suche
